"index_code","industry_name","level","industry_code","is_pub","parent_code"
"801016.SI","种植业","L2","110100","1","110000"
"801015.SI","渔业","L2","110200","1","110000"
"801011.SI","林业Ⅱ","L2","110300","0","110000"
"801014.SI","饲料","L2","110400","1","110000"
"801012.SI","农产品加工","L2","110500","1","110000"
"801017.SI","养殖业","L2","110700","1","110000"
"801018.SI","动物保健Ⅱ","L2","110800","1","110000"
"801019.SI","农业综合Ⅱ","L2","110900","0","110000"
"801033.SI","化学原料","L2","220200","1","220000"
"801034.SI","化学制品","L2","220300","1","220000"
"801032.SI","化学纤维","L2","220400","1","220000"
"801036.SI","塑料","L2","220500","1","220000"
"801037.SI","橡胶","L2","220600","1","220000"
"801038.SI","农化制品","L2","220800","1","220000"
"801039.SI","非金属材料Ⅱ","L2","220900","1","220000"
"801043.SI","冶钢原料","L2","230300","1","230000"
"801044.SI","普钢","L2","230400","1","230000"
"801045.SI","特钢Ⅱ","L2","230500","1","230000"
"801051.SI","金属新材料","L2","240200","1","240000"
"801055.SI","工业金属","L2","240300","1","240000"
"801053.SI","贵金属","L2","240400","1","240000"
"801054.SI","小金属","L2","240500","1","240000"
"801056.SI","能源金属","L2","240600","1","240000"
"801081.SI","半导体","L2","270100","1","270000"
"801083.SI","元件","L2","270200","1","270000"
"801084.SI","光学光电子","L2","270300","1","270000"
"801082.SI","其他电子Ⅱ","L2","270400","1","270000"
"801085.SI","消费电子","L2","270500","1","270000"
"801086.SI","电子化学品Ⅱ","L2","270600","1","270000"
"801093.SI","汽车零部件","L2","280200","1","280000"
"801092.SI","汽车服务","L2","280300","1","280000"
"801881.SI","摩托车及其他","L2","280400","1","280000"
"801095.SI","乘用车","L2","280500","1","280000"
"801096.SI","商用车","L2","280600","1","280000"
"801111.SI","白色家电","L2","330100","1","330000"
"801112.SI","黑色家电","L2","330200","1","330000"
"801113.SI","小家电","L2","330300","1","330000"
"801114.SI","厨卫电器","L2","330400","1","330000"
"801115.SI","照明设备Ⅱ","L2","330500","1","330000"
"801116.SI","家电零部件Ⅱ","L2","330600","1","330000"
"801117.SI","其他家电Ⅱ","L2","330700","0","330000"
"801124.SI","食品加工","L2","340400","1","340000"
"801125.SI","白酒Ⅱ","L2","340500","1","340000"
"801126.SI","非白酒","L2","340600","1","340000"
"801127.SI","饮料乳品","L2","340700","1","340000"
"801128.SI","休闲食品","L2","340800","1","340000"
"801129.SI","调味发酵品Ⅱ","L2","340900","1","340000"
"801131.SI","纺织制造","L2","350100","1","350000"
"801132.SI","服装家纺","L2","350200","1","350000"
"801133.SI","饰品","L2","350300","1","350000"
"801143.SI","造纸","L2","360100","1","360000"
"801141.SI","包装印刷","L2","360200","1","360000"
"801142.SI","家居用品","L2","360300","1","360000"
"801145.SI","文娱用品","L2","360500","1","360000"
"801151.SI","化学制药","L2","370100","1","370000"
"801155.SI","中药Ⅱ","L2","370200","1","370000"
"801152.SI","生物制品","L2","370300","1","370000"
"801154.SI","医药商业","L2","370400","1","370000"
"801153.SI","医疗器械","L2","370500","1","370000"
"801156.SI","医疗服务","L2","370600","1","370000"
"801161.SI","电力","L2","410100","1","410000"
"801163.SI","燃气Ⅱ","L2","410300","1","410000"
"801178.SI","物流","L2","420800","1","420000"
"801179.SI","铁路公路","L2","420900","1","420000"
"801991.SI","航空机场","L2","421000","1","420000"
"801992.SI","航运港口","L2","421100","1","420000"
"801181.SI","房地产开发","L2","430100","1","430000"
"801183.SI","房地产服务","L2","430300","1","430000"
"801202.SI","贸易Ⅱ","L2","450200","1","450000"
"801203.SI","一般零售","L2","450300","1","450000"
"801204.SI","专业连锁Ⅱ","L2","450400","1","450000"
"801206.SI","互联网电商","L2","450600","1","450000"
"801207.SI","旅游零售Ⅱ","L2","450700","0","450000"
"801216.SI","体育Ⅱ","L2","460600","0","460000"
"801217.SI","本地生活服务Ⅱ","L2","460700","0","460000"
"801218.SI","专业服务","L2","460800","1","460000"
"801219.SI","酒店餐饮","L2","460900","1","460000"
"801993.SI","旅游及景区","L2","461000","1","460000"
"801994.SI","教育","L2","461100","1","460000"
"801782.SI","国有大型银行Ⅱ","L2","480200","1","480000"
"801783.SI","股份制银行Ⅱ","L2","480300","1","480000"
"801784.SI","城商行Ⅱ","L2","480400","1","480000"
"801785.SI","农商行Ⅱ","L2","480500","1","480000"
"801786.SI","其他银行Ⅱ","L2","480600","0","480000"
"801193.SI","证券Ⅱ","L2","490100","1","490000"
"801194.SI","保险Ⅱ","L2","490200","1","490000"
"801191.SI","多元金融","L2","490300","1","490000"
"801231.SI","综合Ⅱ","L2","510100","1","510000"
"801711.SI","水泥","L2","610100","1","610000"
"801712.SI","玻璃玻纤","L2","610200","1","610000"
"801713.SI","装修建材","L2","610300","1","610000"
"801721.SI","房屋建设Ⅱ","L2","620100","1","620000"
"801722.SI","装修装饰Ⅱ","L2","620200","1","620000"
"801723.SI","基础建设","L2","620300","1","620000"
"801724.SI","专业工程","L2","620400","1","620000"
"801726.SI","工程咨询服务Ⅱ","L2","620600","1","620000"
"801731.SI","电机Ⅱ","L2","630100","1","630000"
"801733.SI","其他电源设备Ⅱ","L2","630300","1","630000"
"801735.SI","光伏设备","L2","630500","1","630000"
"801736.SI","风电设备","L2","630600","1","630000"
"801737.SI","电池","L2","630700","1","630000"
"801738.SI","电网设备","L2","630800","1","630000"
"801072.SI","通用设备","L2","640100","1","640000"
"801074.SI","专用设备","L2","640200","1","640000"
"801076.SI","轨交设备Ⅱ","L2","640500","1","640000"
"801077.SI","工程机械","L2","640600","1","640000"
"801078.SI","自动化设备","L2","640700","1","640000"
"801741.SI","航天装备Ⅱ","L2","650100","1","650000"
"801742.SI","航空装备Ⅱ","L2","650200","1","650000"
"801743.SI","地面兵装Ⅱ","L2","650300","1","650000"
"801744.SI","航海装备Ⅱ","L2","650400","1","650000"
"801745.SI","军工电子Ⅱ","L2","650500","1","650000"
"801101.SI","计算机设备","L2","710100","1","710000"
"801103.SI","IT服务Ⅱ","L2","710300","1","710000"
"801104.SI","软件开发","L2","710400","1","710000"
"801764.SI","游戏Ⅱ","L2","720400","1","720000"
"801765.SI","广告营销","L2","720500","1","720000"
"801766.SI","影视院线","L2","720600","1","720000"
"801767.SI","数字媒体","L2","720700","1","720000"
"801768.SI","社交Ⅱ","L2","720800","0","720000"
"801769.SI","出版","L2","720900","1","720000"
"801995.SI","电视广播Ⅱ","L2","721000","1","720000"
"801223.SI","通信服务","L2","730100","1","730000"
"801102.SI","通信设备","L2","730200","1","730000"
"801951.SI","煤炭开采","L2","740100","1","740000"
"801952.SI","焦炭Ⅱ","L2","740200","1","740000"
"801961.SI","油气开采Ⅱ","L2","750100","0","750000"
"801962.SI","油服工程","L2","750200","1","750000"
"801963.SI","炼化及贸易","L2","750300","1","750000"
"801971.SI","环境治理","L2","760100","1","760000"
"801972.SI","环保设备Ⅱ","L2","760200","1","760000"
"801981.SI","个护用品","L2","770100","1","770000"
"801982.SI","化妆品","L2","770200","1","770000"
"801983.SI","医疗美容","L2","770300","0","770000"
